Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Replicate,Assay Well,Timepoint,Timepoint Unit,Total Cell Count Before Treatment,Total Cell Count After Treatment,Total Control Cell Count,Relative Cell Count,Normalized Growth Rate Inhibition Value
50029-3,MCF7,10009-101-1,CP466722,1.11,uM,LJP5,1,I09,72,hr,1389,5905,5772,1.0230,1.0222
50029-3,MCF7,10009-101-1,CP466722,1.11,uM,LJP5,3,I09,72,hr,1389,6008,6038,0.9950,0.9952
50029-3,MCF7,10009-101-1,CP466722,3.33,uM,LJP5,1,I08,72,hr,1389,5909,5772,1.0236,1.0229
50029-3,MCF7,10009-101-1,CP466722,3.33,uM,LJP5,3,I08,72,hr,1389,5924,6038,0.9810,0.9820
50029-3,MCF7,10009-101-1,CP466722,10,uM,LJP5,1,I07,72,hr,1389,5228,5772,0.9057,0.9059
50029-3,MCF7,10009-101-1,CP466722,10,uM,LJP5,3,I07,72,hr,1389,6325,6038,1.0474,1.0442
50029-3,MCF7,10010-101-1,CP724714,0.04,uM,LJP5,1,A12,72,hr,1389,5249,5772,0.9093,0.9096
50029-3,MCF7,10010-101-1,CP724714,0.04,uM,LJP5,3,A12,72,hr,1389,5230,6038,0.8661,0.8689
50029-3,MCF7,10010-101-1,CP724714,0.12,uM,LJP5,1,A11,72,hr,1389,4460,5772,0.7726,0.7641
50029-3,MCF7,10010-101-1,CP724714,0.12,uM,LJP5,3,A11,72,hr,1389,4848,6038,0.8029,0.8032
50029-3,MCF7,10010-101-1,CP724714,0.37,uM,LJP5,1,A10,72,hr,1389,4545,5772,0.7874,0.7804
50029-3,MCF7,10010-101-1,CP724714,0.37,uM,LJP5,3,A10,72,hr,1389,4700,6038,0.7783,0.7770
50029-3,MCF7,10010-101-1,CP724714,1.11,uM,LJP5,1,A09,72,hr,1389,4828,5772,0.8364,0.8335
50029-3,MCF7,10010-101-1,CP724714,1.11,uM,LJP5,3,A09,72,hr,1389,4517,6038,0.7480,0.7441
50029-3,MCF7,10010-101-1,CP724714,3.33,uM,LJP5,1,A08,72,hr,1389,5082,5772,0.8804,0.8798
50029-3,MCF7,10010-101-1,CP724714,3.33,uM,LJP5,3,A08,72,hr,1389,5037,6038,0.8342,0.8360
50029-3,MCF7,10010-101-1,CP724714,10,uM,LJP5,1,A07,72,hr,1389,3343,5772,0.5791,0.5332
50029-3,MCF7,10010-101-1,CP724714,10,uM,LJP5,3,A07,72,hr,1389,3722,6038,0.6164,0.5919
50029-3,MCF7,10011-101-1,Alvocidib,0.04,uM,LJP6,1,A18,72,hr,1389,1324,5147,0.2572,-0.0251
50029-3,MCF7,10011-101-1,Alvocidib,0.04,uM,LJP6,2,A18,72,hr,1389,1933,5447,0.3548,0.1825
50029-3,MCF7,10011-101-1,Alvocidib,0.04,uM,LJP6,3,A18,72,hr,1389,1636,5740,0.2850,0.0832
50029-3,MCF7,10011-101-1,Alvocidib,0.12,uM,LJP6,1,A17,72,hr,1389,446,5147,0.0867,-0.4519
50029-3,MCF7,10011-101-1,Alvocidib,0.12,uM,LJP6,2,A17,72,hr,1389,692,5447,0.1270,-0.2977
50029-3,MCF7,10011-101-1,Alvocidib,0.12,uM,LJP6,3,A17,72,hr,1389,559,5740,0.0974,-0.3590
50029-3,MCF7,10011-101-1,Alvocidib,0.37,uM,LJP6,1,A16,72,hr,1389,441,5147,0.0857,-0.4551
